,"Aguascalientes, Real de Asientos","Aguascalientes, Calvillo","Aguascalientes, San Jose de Gracia","Baja California, Tecate","Baja California Sur, Todos Santos","Baja California Sur, Loreto","Campeche, Isla Aguada","Campeche, Palizada","Coahuila, Parras de la Fuente","Coahuila, Cuatro Cienegas","Coahuila, Arteaga","Coahuila, Viesca","Coahuila, Candela","Coahuila, Guerrero","Coahuila, Melchor Muzquiz","Colima, Comala","Chiapas, San Cristobal de las Casas","Chiapas, Comitan de Dominguez","Chiapas, Chiapa de Corzo","Chiapas, Palenque","Chihuahua, Creel","Chihuahua, Batopilas","Chihuahua, Casas Grandes","Durango, Mapimi","Durango, Nombre de Dios","Guanajuato, Dolores Hidalgo","Guanajuato, Mineral de Pozos","Guanajuato, Jalpa","Guanajuato, Salvatierra","Guanajuato, Yuriria","Guanajuato, Comonfort","Guerrero, Taxco","Hidalgo, Real del Monte","Hidalgo, Huasca de Ocampo","Hidalgo, Mineral del Chico","Hidalgo, Huichapan","Hidalgo, Tecozautla","Hidalgo, Zempoala","Hidalgo, Zimapan","Jalisco, Mazamitla","Jalisco, Tapalpa","Jalisco, Tequila","Jalisco, San Sebastian del Oeste","Jalisco, Lagos de Moreno","Jalisco, Mascota","Jalisco, Talpa de Allende","Jalisco, Ajijic","Jalisco, Tlaquepaque","Mexico, Malinalco","Mexico, Tepotzotlan","Mexico, Valle de Bravo","Mexico, El Oro","Mexico, Metepec","Mexico, Aculco","Mexico, Ixtapan de la Sal","Mexico, Teotihuacan y San Martin de las Piramides","Mexico, Villa del Carbon","Mexico, Tonatico","Michoacan, Cuitzeo","Michoacan, Patzcuaro","Michoacan, Sta. Clara del Cobre","Michoacan, Tlalpujahua","Michoacan, Angangueo","Michoacan, Tacambaro","Michoacan, Jiquilpan","Michoacan, Tzintzuntzan","Michoacan, Paracho","Morelos, Tepoztlan","Morelos, Tlayacapan","Nayarit, Jala","Nayarit, Sayulita","Nayarit, Compostela","Nayarit, Mexcaltitan","Nuevo Leon, Santiago","Nuevo Leon, Linares","Nuevo Leon, Bustamante","Oaxaca, Capulalpam de Mendez","Oaxaca, Huautla de Jimenez","Oaxaca, Mazunte","Oaxaca, San Pablo Villa de Mitla","Oaxaca, San Pedro y San Pablo Teposcolula","Oaxaca, Santa Catarina Juquila","Puebla, Cuetzalan del Progreso","Puebla, Zacatlan","Puebla, Pahuatlan","Puebla, Chignahuapan","Puebla, Cholula","Puebla, Tlatlauquitepec","Puebla, Xicotepec","Puebla, Atlixco","Puebla, Huahuchinango","Puebla, Tetela de Ocampo","Queretaro, Bernal","Queretaro, Jalpan de Serra","Queretaro, Cadereyta de Montes","Queretaro, Tequisquiapan","Queretaro, San Joaquin","Queretaro, Amealco de Bonfil","Quintana Roo, Bacalar","Quintana Roo, Isla Mujeres ","Quintana Roo, Tulum","San Luis Potosi, Real de Catorce","San Luis Potosi, Xilitla","San Luis Potosi, Santa María del Río","San Luis Potosi, Aquismón","Sinaloa, Cosala","Sinaloa, El Fuerte","Sinaloa, El Rosario","Sinaloa, Mocorito","Sonora, Alamos","Sonora, Magdalena de Kino","Tabasco, Tapijulapa","Tamaulipas, Mier","Tamaulipas, Tula","Tlaxcala, Huamantla","Tlaxcala, Tlaxco","Veracruz, Coatepec","Veracruz, Xico","Veracruz, Papantla","Veracruz, Orizaba","Veracruz, Zozocolco","Veracruz, Coscomatepec","Yucatan, Izamal","Yucatan, Valladolid","Yucatan, Mani","Yucatan, Sisal","Zacatecas, Jerez de Garcia Salinas","Zacatecas, Teul de Gonzalez Ortega","Zacatecas, Sombrerete","Zacatecas, Pinos","Zacatecas, Nochistlan","Zacatecas, Guadalupe"
"Mexico, Valle de Bravo",581.424,565.721,566.891,2697.986,1728.777,2006.667,1111.092,1076.862,1014.721,1124.175,854.252,1108.11,1074.634,1269.597,1185.464,711.991,1034.473,1123.68,990.155,1040.509,1724.168,1638.996,1767.28,1068.812,867.295,359.109,315.57,439.604,245.816,294.128,298.832,218.599,256.847,275.507,273.768,218.026,242.372,234.102,300.419,511.295,639.683,580.073,764.582,445.794,716.68,713.819,532.973,510.809,150.904,158.302,0.0,104.339,82.558,155.808,139.873,193.016,143.226,142.533,266.06,333.567,345.349,110.696,108.936,381.982,468.403,326.254,393.492,207.293,206.484,653.344,808.817,721.536,833.587,937.719,841.933,1028.53,671.349,531.419,859.519,642.595,559.169,793.468,434.67,328.985,297.495,323.945,261.96,392.43,322.034,291.429,309.719,374.369,260.897,387.84,238.648,211.426,301.439,206.855,1461.257,1765.225,1671.526,673.193,471.258,389.567,513.543,1148.503,1470.503,887.248,1317.177,1600.759,2061.54,966.669,1087.705,611.994,300.391,296.21,444.973,453.885,440.028,401.902,422.969,438.029,1509.05,1600.188,1450.238,1472.903,679.33,641.637,799.53,528.599,568.337,619.744
"Mexico, El Oro",475.385,459.682,460.852,2568.267,1599.058,1876.948,1145.23,1111.0,938.793,1048.248,778.324,1032.183,998.707,1193.67,1109.537,582.272,1068.611,1157.818,1024.294,1074.647,1624.079,1538.908,1667.191,968.724,767.206,239.521,239.643,333.565,116.097,164.409,174.407,238.355,210.592,229.252,227.514,142.099,166.445,201.514,224.492,381.576,509.964,450.354,634.863,339.754,586.961,584.1,403.254,381.09,170.66,141.936,104.339,0.0,101.301,79.128,158.616,194.742,87.27,161.276,151.167,218.674,230.456,8.411,49.862,267.089,353.51,211.361,278.599,226.376,225.567,538.451,693.924,606.643,718.695,861.039,765.252,951.849,704.434,564.505,892.604,675.681,592.254,826.554,437.302,310.823,279.333,305.782,295.045,395.063,303.871,324.514,291.556,356.207,184.217,311.159,161.967,134.746,224.759,80.529,1494.342,1798.31,1704.611,596.512,394.577,312.886,436.862,1033.61,1355.61,772.355,1202.284,1485.867,1946.647,999.754,1011.025,535.313,306.849,274.849,447.606,456.899,421.865,434.987,404.806,471.114,1542.135,1633.274,1483.323,1505.988,601.615,526.744,709.149,464.077,477.956,542.029
"Mexico, Metepec",543.273,527.57,528.741,2659.835,1690.627,1968.517,1031.829,997.598,976.57,1086.024,816.101,1069.96,1036.484,1231.447,1147.314,673.84,955.209,1044.417,910.892,961.246,1686.017,1600.846,1729.129,1030.662,829.144,320.958,277.419,401.453,207.665,255.978,260.681,121.277,165.142,183.802,182.064,179.876,204.221,140.953,262.269,473.144,601.532,541.923,726.431,407.643,678.53,675.669,494.822,472.658,53.581,86.587,82.558,101.301,0.0,115.861,60.38,113.64,103.279,63.04,226.113,293.62,305.402,121.476,128.538,342.035,428.457,286.307,353.545,127.917,127.108,613.398,768.87,681.589,793.641,897.772,801.986,988.583,591.973,452.043,780.143,563.219,479.793,714.092,355.294,249.609,218.119,244.569,182.584,313.054,242.658,212.053,230.342,294.993,220.95,347.893,198.701,171.479,261.492,166.909,1381.881,1685.849,1592.15,633.246,431.311,349.62,473.596,1108.556,1430.556,847.301,1277.23,1560.813,2021.593,887.293,1047.759,572.047,221.015,216.834,365.597,374.891,360.651,322.526,343.593,358.653,1429.674,1520.812,1370.862,1393.527,639.383,601.69,759.583,488.653,528.39,579.797
"Mexico, Aculco",435.507,419.803,420.974,2624.217,1655.008,1932.898,1093.203,1058.973,868.804,978.258,708.335,962.193,928.717,1123.68,1039.547,638.222,1016.584,1105.791,972.266,1022.62,1578.251,1493.079,1621.363,922.895,721.378,213.192,169.653,293.687,171.626,198.223,152.915,252.806,158.565,177.225,175.486,72.109,96.455,149.486,154.502,437.525,565.913,506.304,690.813,299.876,642.911,640.05,459.204,437.039,185.111,89.391,155.808,79.128,115.861,0.0,173.642,142.357,89.407,176.302,188.734,256.241,268.023,84.097,109.766,304.656,391.077,248.928,316.166,211.732,210.923,576.018,731.491,644.209,756.261,790.472,694.685,881.282,652.558,512.629,840.728,623.805,540.378,774.678,385.427,258.947,227.457,253.907,243.17,343.187,251.996,272.638,239.68,304.331,113.65,240.592,91.4,64.179,154.192,40.499,1442.466,1746.434,1652.735,525.945,324.01,242.319,366.295,1071.177,1393.176,809.921,1239.851,1523.433,1984.213,947.878,940.458,464.746,254.973,222.973,395.73,405.024,369.989,383.111,352.93,419.238,1490.26,1581.398,1431.448,1454.112,532.083,564.311,652.282,381.352,421.089,472.497
"Mexico, Ixtapan de la Sal",600.588,584.885,586.056,2717.15,1747.942,2025.832,1080.032,1045.801,1033.885,1143.339,873.416,1127.275,1093.799,1288.762,1204.629,731.155,1003.412,1092.62,959.095,1009.449,1743.333,1658.161,1786.444,1087.977,886.459,378.273,334.734,458.768,264.98,313.293,317.996,63.817,221.247,239.907,238.169,237.191,261.536,197.058,319.584,530.459,658.847,599.238,783.746,464.958,735.845,732.984,552.138,529.973,48.833,142.692,139.873,158.616,60.38,173.642,0.0,167.974,163.688,4.05,301.207,368.713,380.496,196.569,203.271,417.128,503.55,361.4,428.639,133.247,156.777,688.491,843.964,756.682,868.734,972.866,877.079,1063.677,638.739,498.81,771.668,609.986,405.379,704.689,402.06,303.943,272.453,298.903,228.365,359.821,296.992,204.578,284.676,349.327,296.044,422.986,273.794,246.573,336.586,242.002,1428.647,1732.615,1638.916,708.339,506.404,424.713,548.689,1183.649,1505.649,922.394,1352.323,1635.906,2096.686,934.059,1122.852,647.14,275.349,271.168,412.364,421.657,414.985,369.293,397.927,405.419,1476.441,1567.579,1417.629,1440.293,714.477,676.784,834.676,563.746,603.483,654.891
"Mexico, Teotihuacan y San Martin de las Piramides",566.222,550.518,551.689,2739.831,1770.623,2048.512,976.285,942.055,999.008,1108.462,838.539,1092.397,1058.921,1253.884,1169.751,753.836,899.666,988.873,855.349,905.702,1708.455,1623.283,1751.567,1053.099,851.582,343.396,299.857,424.401,302.341,335.974,283.629,241.895,68.024,86.684,84.946,177.856,202.202,32.355,175.611,553.14,681.528,621.919,806.427,430.591,758.526,755.664,574.818,552.654,146.935,69.505,193.016,194.742,113.64,142.357,167.974,0.0,109.884,171.626,303.868,371.374,383.157,199.23,224.669,419.789,506.211,364.061,431.3,146.088,132.631,691.152,846.625,759.343,871.395,918.877,823.09,1009.688,534.847,394.917,723.017,506.094,422.667,656.967,267.715,141.03,109.54,135.99,125.458,225.476,134.079,154.927,121.764,186.414,242.055,368.997,219.805,192.584,282.597,188.332,1324.755,1628.723,1535.024,654.35,452.415,370.724,352.808,1186.31,1508.31,925.055,1354.984,1638.567,2099.347,830.167,1068.863,593.151,137.261,105.262,278.019,287.312,252.073,265.4,235.014,301.527,1372.548,1463.687,1313.736,1336.401,660.488,679.445,768.358,509.757,549.813,600.902
"Mexico, Villa del Carbon",513.273,497.569,498.74,2645.114,1675.905,1953.795,1072.406,1038.176,946.059,1055.513,785.589,1039.448,1005.972,1200.935,1116.802,659.119,995.787,1084.994,951.47,1001.823,1655.506,1570.334,1698.618,1000.15,798.633,290.447,246.908,371.452,249.392,241.256,230.68,225.539,167.117,185.777,184.039,124.907,149.253,137.976,163.784,458.423,586.81,527.201,711.71,377.642,663.808,660.947,480.101,457.937,157.844,58.136,143.226,87.27,103.279,89.407,163.688,109.884,0.0,163.906,209.628,277.135,288.917,104.991,123.119,325.549,411.971,269.821,337.06,150.027,149.218,596.912,752.385,665.103,777.155,867.466,771.679,958.277,602.586,462.656,790.756,573.833,490.406,724.706,367.575,240.89,209.4,235.85,193.197,325.335,233.938,222.666,221.623,286.274,190.644,317.586,168.394,141.173,231.186,136.92,1392.494,1696.462,1602.763,602.939,401.004,319.313,443.289,1092.071,1414.07,830.815,1260.745,1544.327,2005.107,897.906,1017.452,541.74,237.121,205.121,377.878,387.172,351.932,333.139,334.873,369.266,1440.287,1531.426,1381.475,1404.14,609.077,585.205,716.947,458.346,498.402,549.491
"Mexico, Tonatico",603.248,587.545,588.715,2719.81,1750.602,2028.491,1076.169,1041.939,1036.545,1145.999,876.076,1129.935,1096.458,1291.421,1207.289,733.815,999.55,1088.758,955.233,1005.587,1745.992,1660.821,1789.104,1090.637,889.119,380.933,337.394,461.428,267.64,315.265,320.656,59.955,223.907,242.567,240.829,239.85,264.196,199.718,322.244,533.119,661.507,601.898,786.406,467.618,738.504,735.643,554.797,532.633,51.493,145.352,142.533,161.276,63.04,176.302,4.05,171.626,163.906,0.0,303.904,371.411,383.193,199.267,205.968,419.826,506.247,364.098,431.336,129.458,152.989,691.188,846.661,759.38,871.431,975.563,879.776,1066.374,634.951,495.021,767.879,606.197,401.59,700.9,398.272,306.64,275.15,301.6,224.577,356.032,299.689,200.789,287.374,352.024,298.741,425.683,276.491,249.27,339.283,244.699,1424.859,1728.827,1635.128,711.036,509.101,427.41,551.387,1186.347,1508.347,925.092,1355.021,1638.603,2099.383,930.271,1125.549,649.838,278.382,273.865,408.575,417.869,417.683,365.504,400.624,401.631,1472.652,1563.79,1413.84,1436.505,717.174,679.481,837.373,566.443,606.18,657.588
"Michoacan, Cuitzeo",345.044,329.341,330.511,2455.043,1485.834,1763.724,1255.414,1221.184,877.859,987.313,717.39,876.025,937.773,1132.736,1048.603,469.048,1178.794,1268.002,1134.477,1184.831,1493.739,1408.567,1536.851,838.383,636.866,170.226,239.93,203.224,60.82,34.069,132.686,363.058,320.776,339.436,337.697,257.763,255.778,311.697,300.243,268.352,396.739,337.13,521.639,209.414,473.737,470.876,290.03,267.866,295.363,252.12,266.06,151.167,226.113,188.734,301.207,303.868,209.628,303.904,0.0,85.912,97.694,126.319,137.299,134.327,220.748,78.599,145.837,349.97,349.161,405.689,561.162,473.881,585.932,800.266,704.479,891.076,814.583,674.654,1002.753,785.83,702.403,936.703,547.452,420.972,389.482,415.932,405.195,505.212,414.021,434.664,401.705,466.356,215.929,342.871,230.151,219.766,296.347,164.98,1604.491,1908.459,1814.76,535.739,426.289,293.013,468.574,900.848,1222.848,639.593,1069.522,1353.104,1813.884,1109.903,950.252,474.54,416.998,384.998,557.755,567.049,532.014,545.136,514.955,581.263,1652.285,1743.423,1593.473,1616.137,455.689,393.982,563.224,318.151,332.031,396.103
"Michoacan, Patzcuaro",427.969,412.266,413.437,2508.413,1539.205,1817.094,1322.92,1288.69,960.784,1070.239,800.315,958.95,1020.698,1215.661,1131.528,522.418,1246.301,1335.508,1201.984,1252.337,1576.664,1491.492,1619.776,921.308,719.791,253.151,322.855,286.149,143.745,116.994,215.611,430.565,388.282,406.942,405.204,319.789,338.703,379.204,383.168,321.722,450.11,390.501,575.009,292.339,527.108,524.246,343.4,321.236,362.87,319.626,333.567,218.674,293.62,256.241,368.713,371.374,277.135,371.411,85.912,0.0,18.283,194.113,205.093,54.916,177.831,17.483,68.061,417.764,416.956,462.183,617.656,530.375,642.427,882.921,787.135,973.732,882.377,742.448,1070.548,853.624,770.198,1004.497,615.246,488.766,457.276,483.726,472.989,573.006,481.815,502.458,469.499,534.15,298.584,425.527,312.807,302.421,379.002,232.774,1672.286,1976.253,1882.554,618.395,508.945,375.669,551.23,957.342,1279.342,696.087,1126.016,1409.599,1870.379,1177.697,1032.907,557.196,484.792,452.793,625.549,634.843,599.808,612.931,582.75,649.057,1720.079,1811.217,1661.267,1683.931,538.345,450.476,645.879,400.807,414.686,478.759
"Michoacan, Sta. Clara del Cobre",439.752,424.048,425.219,2520.196,1550.987,1828.877,1334.703,1300.473,972.567,1082.021,812.098,970.733,1032.48,1227.443,1143.31,534.201,1258.083,1347.291,1213.766,1264.12,1588.446,1503.274,1631.558,933.091,731.573,264.933,334.638,297.932,155.528,128.776,227.394,442.347,400.065,418.724,416.986,331.571,350.485,390.986,394.951,333.504,461.892,402.283,586.792,304.121,538.89,536.029,355.183,333.019,374.652,331.408,345.349,230.456,305.402,268.023,380.496,383.157,288.917,383.193,97.694,18.283,0.0,204.558,215.538,45.046,189.32,38.326,79.55,428.209,427.401,472.629,628.101,540.82,652.872,893.366,797.58,984.177,892.823,752.893,1080.993,864.069,780.643,1014.942,625.691,499.211,467.721,494.171,483.434,583.451,492.26,512.903,479.945,544.595,309.029,435.972,323.252,312.866,389.447,243.219,1682.731,1986.699,1893.0,628.84,519.39,386.114,561.675,967.787,1289.787,706.532,1136.461,1420.044,1880.824,1188.143,1043.352,567.641,495.237,463.238,635.994,645.288,610.254,623.376,593.195,659.503,1730.524,1821.662,1671.712,1694.377,548.79,460.921,656.324,411.252,425.131,489.204
"Michoacan, Tlalpujahua",468.376,452.673,453.843,2561.258,1592.05,1869.939,1150.776,1116.546,928.772,1038.226,768.303,1022.162,988.686,1183.649,1099.516,575.263,1074.157,1163.364,1029.84,1080.193,1617.071,1531.899,1660.182,961.715,760.198,232.512,229.621,326.556,109.088,157.401,167.398,258.421,216.138,234.798,233.06,147.645,171.991,207.06,230.038,374.567,502.955,443.346,627.854,332.746,579.953,577.091,396.245,374.081,190.726,147.482,110.696,8.411,121.476,84.097,196.569,199.23,104.991,199.267,126.319,194.113,204.558,0.0,36.11,248.471,334.893,192.743,259.981,245.387,244.579,519.833,675.306,588.025,700.077,822.011,726.225,912.822,710.001,570.071,898.171,681.247,597.821,832.12,442.869,316.389,284.899,311.349,300.612,400.629,309.438,330.081,297.123,361.773,166.504,293.447,167.534,140.312,230.325,73.188,1499.909,1803.877,1710.178,557.485,376.865,273.859,419.15,1014.992,1336.992,753.737,1183.666,1467.249,1928.029,1005.321,971.997,496.286,312.415,280.416,453.172,462.466,427.432,440.554,410.373,476.681,1547.702,1638.84,1488.89,1511.555,582.997,508.126,690.531,445.459,459.338,523.411
"Michoacan, Angangueo",479.356,463.653,464.823,2572.238,1603.03,1880.919,1176.215,1141.985,939.422,1048.876,778.953,1032.812,999.335,1194.299,1110.166,586.243,1099.596,1188.803,1055.279,1105.632,1628.051,1542.879,1671.162,972.695,771.178,243.162,240.271,337.536,119.738,168.381,178.048,265.122,241.577,260.237,258.499,173.314,197.66,232.498,255.708,385.547,513.935,454.326,638.834,343.726,590.933,588.071,407.225,385.061,197.427,172.921,108.936,49.862,128.538,109.766,203.271,224.669,123.119,205.968,137.299,205.093,215.538,36.11,0.0,254.561,340.983,198.833,266.072,253.037,252.228,525.924,681.396,594.115,706.167,862.55,766.764,953.361,717.093,577.163,905.263,688.339,604.913,839.212,468.14,341.66,310.17,336.62,307.704,425.901,334.709,337.173,322.394,387.044,215.42,342.363,192.782,165.56,295.838,132.371,1507.001,1810.969,1717.27,598.024,425.781,314.398,468.066,1021.082,1343.082,759.827,1189.756,1473.339,1934.119,1012.413,1012.536,536.825,337.686,305.687,478.443,487.737,452.703,447.646,435.644,483.773,1554.794,1645.932,1495.982,1518.647,589.087,514.216,696.622,451.549,465.429,529.501
"Michoacan, Tacambaro",476.384,460.681,461.852,2556.828,1587.62,1865.509,1371.335,1337.105,1009.199,1118.654,848.73,1007.365,1069.113,1264.076,1179.943,570.833,1294.716,1383.923,1250.399,1300.752,1625.079,1539.907,1668.191,969.723,768.206,301.566,371.27,334.564,192.16,165.409,264.026,478.98,436.697,455.357,453.619,368.204,387.118,427.619,431.583,370.137,498.525,438.916,623.424,340.754,575.523,572.661,391.815,369.651,411.285,368.041,381.982,267.089,342.035,304.656,417.128,419.789,325.549,419.826,134.327,54.916,45.046,248.471,254.561,0.0,225.713,74.719,115.943,464.602,463.794,509.021,664.494,577.213,689.265,929.759,833.973,1020.57,929.215,789.286,1117.386,900.462,817.036,1051.335,662.084,535.604,504.114,530.564,519.827,619.844,528.653,549.296,516.338,580.988,345.422,472.365,359.645,349.259,425.84,279.612,1719.124,2023.091,1929.393,665.233,555.783,422.507,598.068,1004.18,1326.18,742.925,1172.854,1456.437,1917.217,1224.536,1079.745,604.034,531.63,499.631,672.387,681.681,646.646,659.769,629.588,695.895,1766.917,1858.055,1708.105,1730.769,585.183,497.314,692.717,447.645,461.524,525.597
"Michoacan, Jiquilpan",301.412,285.708,286.879,2321.067,1351.858,1629.748,1457.757,1423.527,862.224,999.694,741.403,832.393,964.074,1149.819,1060.984,177.831,1381.138,1470.345,1336.821,1387.174,1450.106,1364.934,1493.218,794.75,593.233,293.414,371.06,167.435,278.582,251.83,263.816,565.401,523.119,541.779,540.04,388.893,386.907,514.04,431.373,47.072,163.979,203.154,356.469,209.436,308.567,305.706,123.583,133.89,497.706,454.463,468.403,353.51,428.457,391.077,503.55,506.211,411.971,506.247,220.748,177.831,189.32,334.893,340.983,225.713,0.0,207.871,123.039,552.113,551.305,274.253,429.726,342.445,454.496,842.667,773.55,906.073,1016.726,876.797,1204.897,987.973,904.547,1138.846,749.595,623.115,591.625,618.075,607.338,707.355,616.164,636.807,603.848,668.499,346.565,473.507,360.787,350.402,426.983,367.123,1806.635,2110.602,2016.904,604.81,556.925,393.998,687.995,769.412,1091.412,508.157,938.086,1221.668,1682.448,1312.046,965.249,543.611,619.141,587.142,759.898,769.192,734.157,747.28,717.099,783.406,1854.428,1945.566,1795.616,1818.28,414.299,262.546,521.833,334.253,216.41,354.713
"Michoacan, Tzintzuntzan",420.656,404.953,406.124,2440.668,1471.459,1749.349,1315.607,1281.377,953.471,1062.926,793.002,951.637,1013.385,1208.348,1124.215,454.673,1238.988,1328.195,1194.671,1245.024,1569.351,1484.179,1612.463,913.995,712.478,245.838,315.542,210.713,136.432,109.681,208.298,423.252,380.969,399.629,397.891,312.476,331.39,371.891,375.855,253.976,382.364,322.755,507.264,285.026,459.362,456.501,275.655,253.49,355.557,312.313,326.254,211.361,286.307,248.928,361.4,364.061,269.821,364.098,78.599,17.483,38.326,192.743,198.833,74.719,207.871,0.0,78.936,410.971,410.162,393.959,549.431,462.15,574.202,876.128,780.341,966.939,875.584,735.655,1063.754,846.831,763.405,997.704,608.453,481.973,450.483,476.933,466.196,566.213,475.022,495.665,462.706,527.357,291.791,418.733,306.014,295.628,372.209,225.981,1665.492,1969.46,1875.761,611.602,502.152,368.876,544.437,889.117,1211.117,627.862,1057.791,1341.374,1802.154,1170.904,1026.114,550.403,477.999,445.999,618.756,628.05,593.015,606.138,575.956,642.264,1713.286,1804.424,1654.474,1677.138,531.551,382.251,639.086,394.013,330.666,471.966
"Michoacan, Paracho",380.323,364.62,365.79,2406.19,1436.981,1714.871,1382.846,1348.616,941.135,1086.178,816.255,911.304,1036.637,1231.6,1147.468,420.195,1306.226,1395.434,1261.909,1312.263,1529.018,1443.846,1572.13,873.662,672.145,295.427,373.072,175.671,203.671,176.919,265.828,490.49,448.208,466.867,465.129,379.714,388.92,439.129,433.385,168.975,347.886,288.277,472.786,247.017,424.884,422.023,241.177,219.013,422.795,379.551,393.492,278.599,353.545,316.166,428.639,431.3,337.06,431.336,145.837,68.061,79.55,259.981,266.072,115.943,123.039,78.936,0.0,477.412,476.604,359.449,514.922,427.64,539.692,898.396,802.609,989.207,942.025,802.096,1006.815,913.272,829.846,1064.145,674.894,548.414,516.924,543.374,532.637,632.654,541.463,562.106,529.147,593.798,347.074,474.016,361.297,350.911,427.492,292.422,1731.934,2035.901,1942.203,633.869,557.434,391.143,717.054,854.608,1176.607,593.352,1023.282,1306.864,1767.644,1237.345,1048.382,572.671,544.44,512.441,685.197,694.491,659.456,672.579,642.398,708.705,1779.727,1870.865,1720.915,1743.579,494.045,347.742,601.58,373.807,296.157,434.459
"Morelos, Tepoztlan",635.597,619.893,621.064,2784.91,1815.701,2093.591,991.799,957.569,1068.383,1177.837,907.914,1161.772,1128.296,1323.259,1239.126,798.915,915.18,1004.387,870.863,921.216,1777.83,1692.658,1820.942,1122.474,920.957,412.771,369.232,493.776,371.716,381.052,353.004,117.065,198.369,217.029,215.29,247.231,271.577,174.18,273.538,598.219,726.606,666.997,851.506,499.966,803.604,800.743,619.897,597.733,86.363,124.977,207.293,226.376,127.917,211.732,133.247,146.088,150.027,129.458,349.97,417.764,428.209,245.387,253.037,464.602,552.113,410.971,477.412,0.0,29.171,738.396,893.869,806.588,918.639,988.828,893.041,1079.639,550.165,410.236,766.824,521.412,316.562,699.845,313.487,262.055,250.708,248.977,139.791,271.247,275.247,116.004,262.931,284.887,312.006,438.948,289.756,262.535,352.548,258.283,1340.074,1644.041,1550.342,724.301,522.366,440.675,564.651,1233.555,1555.555,972.3,1402.229,1685.811,2146.591,845.485,1138.814,663.102,193.597,211.053,323.79,333.083,393.24,280.719,339.452,316.845,1387.867,1479.005,1329.055,1351.719,730.439,726.689,838.309,579.708,619.764,670.853
"Morelos, Tlayacapan",634.788,619.085,620.255,2784.101,1814.893,2092.782,979.092,944.862,1067.574,1177.028,907.105,1160.964,1127.487,1322.451,1238.318,798.106,902.472,991.68,858.155,908.509,1777.021,1691.85,1820.133,1121.666,920.148,411.962,368.423,492.968,370.907,379.556,352.196,140.596,206.24,224.9,223.161,246.422,270.768,160.723,304.319,597.41,725.798,666.189,850.697,499.158,802.795,799.934,619.088,596.924,109.893,124.168,206.484,225.567,127.108,210.923,156.777,132.631,149.218,152.989,349.161,416.956,427.401,244.579,252.228,463.794,551.305,410.162,476.604,29.171,0.0,737.481,892.954,805.673,917.724,1011.933,916.146,1102.744,538.248,398.319,726.418,509.495,304.645,660.368,301.569,245.819,235.481,232.741,127.874,259.329,260.02,104.087,247.705,268.651,335.111,462.053,312.861,285.64,375.653,281.388,1328.156,1632.124,1538.425,747.406,545.472,463.78,587.757,1232.64,1554.64,971.385,1401.314,1684.896,2145.676,833.568,1161.919,686.208,181.68,194.816,311.872,321.166,378.014,268.801,327.534,304.928,1375.949,1467.088,1317.137,1339.802,753.544,725.774,861.414,602.813,642.869,693.958
"Nayarit, Jala",416.973,327.007,402.441,2052.395,1083.186,1361.076,1642.698,1608.468,940.537,1014.742,856.965,859.609,1079.636,1265.381,1176.545,307.667,1566.079,1655.286,1521.761,1572.115,1342.157,1017.043,1520.435,821.967,593.097,460.279,536.59,317.23,463.523,436.771,455.682,750.342,708.06,726.72,724.981,580.759,578.773,698.981,623.239,239.428,235.359,82.13,118.172,320.807,250.84,247.978,184.023,142.119,682.647,639.404,653.344,538.451,613.398,576.018,688.491,691.152,596.912,691.188,405.689,462.183,472.629,519.833,525.924,509.021,274.253,393.959,359.449,738.396,737.481,0.0,163.691,76.41,184.312,956.291,887.174,1019.697,1203.152,1063.223,1391.323,1174.399,1090.973,1325.272,936.021,809.541,778.051,804.501,793.764,893.781,802.59,823.233,790.274,854.925,540.523,667.466,554.746,544.36,620.941,553.549,1993.061,2297.028,2203.33,718.434,837.624,507.622,801.619,499.227,821.227,237.972,667.901,951.484,1412.264,1498.472,1078.872,657.235,805.567,773.568,946.324,955.618,920.583,933.706,903.525,969.832,2040.854,2131.992,1982.042,2004.706,403.863,244.931,635.457,447.877,296.339,468.336
"Nayarit, Sayulita",572.446,482.48,557.913,2106.063,1136.855,1414.744,1798.171,1763.94,994.205,1068.411,1012.438,913.278,1235.109,1420.853,1332.018,463.14,1721.551,1810.759,1677.234,1727.588,1395.826,1070.711,1574.103,875.636,646.766,615.752,692.063,472.703,618.996,592.244,611.154,905.815,863.532,882.192,880.454,736.231,734.246,854.454,778.711,394.901,390.832,237.603,96.537,476.28,126.315,155.381,339.496,297.591,838.12,794.876,808.817,693.924,768.87,731.491,843.964,846.625,752.385,846.661,561.162,617.656,628.101,675.306,681.396,664.494,429.726,549.431,514.922,893.869,892.954,163.691,0.0,89.481,242.042,1111.596,1042.479,1175.002,1358.457,1218.528,1546.628,1329.704,1246.278,1480.577,1091.326,964.846,933.356,959.806,949.069,1049.086,957.895,978.538,945.579,1010.23,695.828,822.771,710.051,699.665,776.246,708.854,2148.366,2452.333,2358.635,873.739,992.929,662.927,956.924,556.957,878.957,295.702,725.631,1009.214,1469.994,1653.777,1234.178,812.54,960.872,928.873,1101.629,1110.923,1075.888,1089.011,1058.83,1125.137,2196.159,2287.297,2137.347,2160.011,559.168,400.236,790.762,603.182,451.644,623.642
